"segmentid","street","direction","count_mm"
"31409","GRAHAM AVENUE","NB","672"
"31411","GRAHAM AVENUE","SB","672"
"31412","GRAND STREET","WB","672"
"31417","MANHATTAN AVENUE","NB","672"
"31420","METROPOLITAN AVENUE","EB","672"
"31421","GRAHAM AVENUE","SB","672"
"31422","METROPOLITAN AVENUE","WB","672"
"31425","GRAHAM AVENUE","EB","864"
"31425","GRAHAM AVENUE","WB","864"
"31427","GRAHAM AVENUE","NB","672"
"31550","HUDSON STREET","NB","864"
"31826","HUDSON STREET","NB","1344"
"31827","DESBROSSES STREET","WB","1344"
"31906","SPRING STREET","EB","672"
"31907","VARICK STREET","SB","672"
"31909","VARICK STREET","SB","864"
"31914","HUDSON STREET","NB","864"
"32031","HUDSON STREET","SB","864"
"32070","HOGAN PLACE","WB","707"
"32072","WALKER STREET","EB","864"
"32078","CHURCH STREET","NB","672"
"32082","CANAL STREET","EB","672"
"32082","CANAL STREET","WB","672"
"32086","GREENE STREET","NB","672"
"32196","AVENUE OF THE AMERICAS","NB","672"
"32204","BLEECKER STREET","SB","672"
"32254","WAVERLY PLACE","SB","1539"
"32283","8 AVENUE","NB","672"
"32285","8 AVENUE","NB","672"
"32314","WALKER STREET","EB","672"
"32319","CANAL STREET","EB","672"
"32319","CANAL STREET","WB","672"
"32453","AVENUE OF THE AMERICAS","NB","1344"
"32455","7 AVENUE","SB","672"
"32456","WEST 14 STREET","EB","672"
"32456","WEST 14 STREET","WB","672"
"32457","7 AVENUE","SB","672"
"32486","CHRYSTIE STREET","NB","1344"
"32486","CHRYSTIE STREET","SB","1344"
"32489","CHRYSTIE STREET","NB","1344"
"32489","CHRYSTIE STREET","SB","1344"
"32514","SPRING STREET","EB","758"
"32532","PRINCE STREET","WB","672"
"32550","BLEECKER STREET","EB","483"
"32627","WEST 14 STREET","EB","672"
"32627","WEST 14 STREET","WB","672"
"32628","AVENUE OF THE AMERICAS","NB","672"
"32631","5 AVENUE","SB","672"
"32651","FORSYTH STREET","NB","864"
"32742","LAFAYETTE STREET","NB","864"
"32775","4 AVENUE","NB","864"
"32792","WEST 14 STREET","EB","672"
"32792","WEST 14 STREET","WB","672"
"32793","5 AVENUE","SB","672"
"32794","EAST 14 STREET","EB","672"
"32794","EAST 14 STREET","WB","672"
"32802","EAST 14 STREET","WB","672"
"32807","EAST 14 STREET","EB","672"
"32807","EAST 14 STREET","WB","672"
"32828","AVENUE OF THE AMERICAS","NB","864"
"32830","WEST 23 STREET","EB","864"
"32830","WEST 23 STREET","WB","864"
